,Stopover_ID
0,8100015
1,8100845
2,8100014
3,8101204
4,8101308
5,8100974
6,8101389
7,8101165
8,8100013
10,8101223
11,8101278
12,8100695
13,8100016
14,8100017
16,8100002
18,8000108
39,8100308
40,8100711
139,8101736
140,8101361
141,8100151
142,8100152
143,8100153
144,8100766
145,8100155
146,8100157
147,8100160
148,8100162
149,8100926
150,8100163
264,8100507
334,8101311
335,8100164
429,8100088
430,8100549
431,8100113
432,8100112
433,8100554
434,8100111
435,8100551
436,8100548
437,8100110
438,8100109
439,8100108
441,8004043
442,8003302
443,8002187
723,8100198
724,8100515
725,8101335
726,8100388
727,8100332
728,8100543
729,8100373
730,5600582
732,8101771
733,8101467
734,8101653
735,8100254
736,8100369
737,8100950
738,8101173
739,8101051
740,8101556
741,8103000
755,8100434
756,8100453
757,8100343
758,8100255
759,8100484
760,8100238
761,8100431
762,8100341
763,8100448
768,8101590
769,8101227
770,8100514
771,8100025
772,8100516
776,8101829
777,8100499
778,5500017
780,5500016
781,5500080
793,5501633
794,5500032
798,8100280
799,8100357
800,8100397
801,8100532
802,8100219
803,8101617
804,8100422
805,8100773
806,8100231
812,8100226
813,8100225
814,8100495
815,8100424
816,8100361
817,8100220
818,8100216
819,5501494
820,8100719
1273,8100049
1274,8101146
1275,8100051
1276,8100052
1277,8100053
1278,8100054
1279,8100055
1280,8101044
1281,8100057
1282,8100366
1283,8100058
1284,8100939
1285,8100099
1287,8100048
1288,8100047
1289,8100046
1290,8100045
1291,8100044
1292,8100043
1293,8100042
1294,8100539
1295,8100041
1296,8100546
1297,8100040
1298,8101917
1318,8100138
1319,8100137
1320,8100132
1321,8100131
1322,8100150
1323,8100071
1324,8100070
1325,8100173
1446,8100061
1447,8100063
1448,8100064
1449,8100067
1450,8100197
1451,8509404
1452,8509411
1453,8503000
1614,8100102
1879,8100032
1880,8100031
1881,8100029
1882,8100028
1886,5400202
1887,5400001
1888,5400002
1889,5400161
1890,5400014
1893,8100072
1894,8100073
1895,8100076
1906,8100096
1907,8100078
1908,8100085
1909,8100080
1910,8100081
1911,8100147
1923,8100035
1924,8100082
1925,7900006
1926,7900007
1927,7900005
1928,7900031
1929,7900004
1930,7900037
1931,7900252
1932,7900003
1941,8100353
1943,8101275
1944,8106002
1947,8101076
1948,8100783
1950,8100518
1952,8101678
1953,8101504
1954,8100074
1972,8101877
1973,8101783
1974,8100086
1975,8101238
1976,8100781
1977,8101447
1978,8100092
1979,8101126
1980,8100419
1981,8101241
1982,8101055
1983,8100149
1984,8100146
1985,8100657
1986,8100145
1987,8101005
1988,8100144
1989,8101274
1990,8100143
1991,8102042
1992,8100141
2008,5400201
2009,5400019
2010,5400003
2011,8010022
2012,8010085
2013,8010089
2014,8011113
2015,8098160
2016,8089021
2017,8089005
2018,8089091
2019,8089046
2020,8089037
2021,8089165
2157,8303915
2158,8300115
2159,8300110
2160,8300130
2161,8300093
2162,8300094
2231,8100166
2232,8100165
2233,8100672
2234,8101025
2246,8100425
2249,8100309
2250,8100128
2251,8100819
2252,8100127
2253,8100126
2254,8100125
2255,8101061
2294,8100161
2295,8101014
2296,8100159
2297,8100158
2320,8100001
2394,8000116
2395,8004885
2396,8000320
2397,8000262
2398,8000261
2708,8101163
2709,8101567
2710,8100780
2711,8101664
2712,8101791
2721,8101788
2722,8100757
2723,8100983
2724,8101623
2725,8100650
2726,8100652
2727,8101401
2728,8101755
2730,8100708
2732,8101230
2733,8101150
2736,8101553
2737,8104229
2738,8101619
2739,8100721
2740,8100245
2741,8101748
2742,8101644
2743,8100619
2744,8101536
2745,8100724
2746,8101012
2747,8101524
2748,8100221
2749,8100130
2750,8101416
2751,8100457
2760,8101033
2763,8101352
2764,8100867
2765,8100846
2767,8100698
2768,8101346
2770,8100634
2771,8100935
2775,8101473
2776,8101433
2777,8100449
2778,8100349
2779,8101641
2780,8101934
2781,8100236
2805,8100691
2806,8101013
2807,8101588
2808,8101191
2809,8100689
2810,8100293
2811,8101124
2812,8101578
2813,8100534
2908,8100990
2909,8100823
2910,8100202
3432,8100264
3433,8100828
3434,8101453
3435,8100295
3436,8100813
3437,8100244
3438,8101338
3439,8100311
3440,8100997
3441,8100272
3442,8100008
3443,8173378
3444,8173112
3445,8183203
3446,8173394
3447,8183390
3448,8173383
3449,8173277
3450,8183358
3451,8171120
3452,8111202
3453,8171201
3454,8111199
3455,8111198
3456,8111197
3457,8171067
3461,8100746
3462,8101764
3463,8100568
3464,8100288
3466,8100203
3467,8100269
3468,8101937
3469,8100446
3914,8100734
3915,8101955
3916,8101409
3917,8101402
3918,8100396
3920,8100513
3921,8101747
3922,8100476
3932,8101110
3933,8100878
3934,8101282
3935,8101106
3936,8100430
3937,8100999
3938,8100976
3939,8100474
3940,8101306
3941,8101516
3942,8100208
4230,8101480
4231,8101391
4232,8101851
4233,8101463
4234,8100485
4236,8101841
4237,8101225
4238,8100355
4239,8101414
4240,8100764
4241,8100006
4387,8100005
4388,8101169
4389,8101387
4468,8101349
4469,8101403
4471,8100847
4472,8101837
4473,8100882
4474,8101696
4475,8101973
4476,8101769
4477,8101711
4478,8101781
4479,8100706
4480,8100653
4481,8102017
4771,8101496
4772,8100797
4773,8101157
4775,8101676
4777,8101395
4778,8100079
4779,8103644
4780,8101093
4782,8101094
4783,8101090
4784,8101239
4785,8100849
4787,8101505
4788,8100077
4789,8101393
4790,8101075
4792,8100573
5430,8102004
5431,8170070
5432,8170016
5433,8170072
5434,8170071
5435,8170012
5437,8170036
5438,8170068
5439,8170033
5440,8170001
5441,8170021
5442,8170061
5443,8170007
5444,8102005
5445,8170014
5446,8170029
5447,8170035
5448,8170040
5449,8170062
5450,8170003
5451,8170067
5452,8170010
5453,8170039
5454,8170055
5455,8170044
5456,8170013
5457,8170048
5458,8170248
5459,8101997
5460,8101999
5461,8170056
5462,8102001
5463,8170027
5464,8170041
5465,8170031
5467,8170032
5468,8170054
5469,8170018
5470,8170006
5471,8170063
5472,8170037
5473,8170019
5479,8171160
5480,8171159
5716,8100201
5717,8100493
5953,8175054
5954,8165017
5955,8175018
5956,8175015
5957,8175019
5958,8174054
5959,8173074
5961,8177005
5962,8177008
5963,8177031
6012,8100026
6013,8101390
6014,8101661
6015,8101277
6016,8101489
6029,8100587
6030,8100027
6031,8101097
6032,8100736
6033,8101050
6034,8100692
6035,8101795
6037,8101520
6038,8101596
6732,8102149
6733,8100083
6735,8100084
6736,8100788
6737,8100861
6738,8100382
6739,8100148
6874,8101586
6875,8101605
6876,8101153
6877,8100576
6878,8101645
6879,8101643
6880,8101804
6881,8101622
6882,8101421
6883,8101439
6884,8100957
6892,8101077
6893,8101768
6894,8101510
6895,8101845
6896,8106003
6897,8101374
7091,8101101
7092,8101290
7097,8100460
7098,8101702
7099,8101084
7100,8100961
7101,8100257
7102,8100432
7103,8101825
7104,8101247
7105,8101159
7107,8101692
7506,8101154
7507,8101822
7508,8100906
7515,8100273
7516,8100399
7517,8100200
7518,8100210
7519,8100199
7520,8100335
7521,8100953
7522,8100531
7523,8100129
7524,5400018
7525,8171070
7526,8181002
7550,5403501
7551,5402182
7552,5402354
7553,5401387
7554,5401054
7555,5400547
7556,5403170
7557,5403169
7558,5402175
7559,5402181
7560,5400017
7562,5400031
7897,8101011
7898,8100370
7899,8100590
7900,8100034
7901,8100033
7902,8101210
7903,8101370
7906,8100843
7907,8100905
7908,8100883
7909,8101507
7910,8101382
7912,8103490
7913,8100371
7914,8103487
7915,8100193
7916,8102050
7917,8100194
7918,8101161
7919,8100195
7920,8100318
7921,8100196
7922,8101454
7923,8100857
7924,8100175
7925,8101164
7926,8100176
7929,8101398
7930,8103174
7931,8100601
7932,8101019
7933,8100593
7934,8101774
7935,8101137
7936,8101918
7938,8100763
7975,8171041
7976,8120201
7977,8197056
8028,8100945
8029,8101010
8030,8101231
8031,5500029
8051,8000284
8052,8010101
8053,8010159
8080,8102051
8081,8101809
8082,8100903
8083,8100837
8084,8100779
8085,8100718
8086,8100955
8087,8101628
8088,8101582
8089,8100564
8090,8101550
8091,8101364
8092,8101775
8093,8101750
8245,8100623
8246,8100306
8247,8100517
8248,8101450
8249,8100172
8250,8101638
8251,8100171
8252,8100412
8253,8100170
8254,8101742
8255,8100169
8256,8100167
8257,8101255
8258,8101690
8413,8100284
8414,8100494
8415,8100481
8416,8100356
8417,8102015
8418,8100408
8419,8100472
8420,8100398
8424,5500031
8425,5500030
8427,5500012
8428,5500010
8429,5500009
8430,5500008
8431,5500003
8609,5500613
8610,5500187
8611,5501125
8612,5500368
8613,5501621
8614,5500127
8615,5500471
8616,5501609
8617,5501280
8618,5500028
8620,5501132
8995,8101810
9296,8000183
9298,8000260
9299,8000115
9300,8003200
9301,8000128
9302,8000152
9303,8000147
9304,8002549
9306,8002548
9318,8101571
9319,8100059
9321,8101776
9325,8101593
9328,8101792
9330,8100907
9332,8101351
9382,8100119
9383,8100120
9384,8100121
9385,8100122
9386,8100473
9387,8100090
9397,8100100
9398,8100465
9399,8100101
9400,8100488
9402,8100103
9403,8100105
9404,8100477
9405,8105987
9408,8100106
9409,8100107
9410,8101529
9411,8100258
9412,8300092
9414,8300091
9415,8300121
9416,8300534
9417,8300089
9418,8300076
9419,8300078
9420,8300125
9421,8300084
9423,8300101
9424,8300113
9425,8300120
9426,8300217
9577,8300126
9578,8300098
9610,8100012
9612,8100447
9613,8100003
9662,8179469
9663,8179246
9664,8179493
9665,8179055
9666,8179240
9667,8172024
9668,8172197
9669,8172154
9671,8171210
9672,8171010
9673,8179501
9928,8101293
9929,8100007
9930,8101083
9937,8100669
9973,8100836
9974,8101695
9975,8101081
9976,8100949
9977,8101449
9978,8101573
9979,8100713
9980,8100445
9981,8101635
9982,8101313
9983,8100154
9984,8100511
10054,8100009
10822,8100075
10823,8101244
10824,8101538
10965,8101190
10966,8101080
10967,8101221
10968,8100383
10969,8100030
10970,8100613
10971,8101243
10972,8101032
11047,8000298
11048,8000301
11049,8000309
11543,8175289
11544,8175096
11545,8175117
11546,8175102
11547,8175105
11548,8175109
11549,8175316
11550,8175121
11551,8175110
11552,8175119
11554,8175263
11556,8175262
11557,8175008
11558,8175261
11718,8101273
11719,8100133
11720,8101494
11721,8100135
11722,8101386
11723,8100597
11724,8100136
12297,8100094
12298,8100093
12539,8100385
12540,8101040
12541,8179684
12542,8100394
12543,8101991
12544,8171531
12545,8172933
12546,8148127
12547,8102008
12548,8114989
12549,8147330
12550,8101993
12556,8100768
12557,8102002
12558,8101994
12559,8101995
12560,8171838
12561,8101992
12562,8180719
12563,8101996
12573,8100796
12574,8101170
12577,8100928
12578,8101595
12579,8100591
12592,8100869
12593,8101020
12594,8101498
12595,8101317
12596,8101793
12597,8101697
12598,8101535
12599,8100984
12600,8101272
12601,8101261
12602,8101111
12603,8101336
12604,8101245
12665,8101315
12666,8101522
12667,8100962
12668,8101548
12669,8100827
12670,8100710
12671,8100274
12742,8102888
12743,8101477
12744,8101545
12745,8100466
12797,8100936
12798,8100894
12799,8101367
12800,8100363
12801,8100469
12802,8102056
12828,8170015
12925,8102007
12926,8101523
12927,8100970
12928,8100808
12929,8100775
12930,8101600
12931,8101065
12932,8101180
13108,8001961
13109,8004506
13110,8001880
13111,8004662
13112,8004185
13113,8005948
13114,8003024
13115,8000220
13116,8005927
13117,8004158
13118,8098261
13129,8098549
13130,8003137
13131,8005663
13132,8003518
13133,8006705
13134,8006706
13135,8098553
13900,8003249
13901,8004507
13902,8002012
13903,8001129
13904,8004955
13908,8098262
13913,8100483
14021,8002424
14022,8004703
14023,8000634
14024,8002347
14291,8300123
14292,8300102
14295,8300350
14296,8300578
14311,5600209
14312,5600578
14313,5600585
14314,5600207
14315,8100241
14316,8102062
14317,8100020
14318,8100134
14319,8100594
14320,8100426
14321,8100929
14322,8101558
14325,8102009
14326,8100489
14327,8102068
14328,8100409
14329,8100814
14330,8100333
14331,8100410
14332,8101506
14333,8100365
14344,8102052
14345,8102048
14346,8102045
14696,7900001
14697,7900051
14698,7900046
14699,7900002
14700,7900045
14701,7900104
14702,7900050
14703,7900049
14704,7900014
14705,7900048
14706,7900201
14707,7900150
14708,7900269
14709,7900047
14710,7900266
14711,7900141
14766,7900140
14770,7900018
14771,7900030
14772,7900017
14773,7800061
14774,7800020
14775,7800024
14776,7800032
14777,7800034
14778,7800010
14779,7800009
14780,7800008
14781,7800046
14782,7800015
14783,7800047
14784,7800018
14904,7900197
14905,7900147
14906,7900083
14908,7900078
14909,7900084
14911,7900138
14912,7900016
15653,8195061
15654,8175162
16245,8101818
16246,8101555
16247,8101820
16248,8100374
16249,8100259
16250,8101871
16252,8100036
16253,8100506
16254,8100037
16255,8100038
16256,8101669
16257,8100039
16258,8100502
16259,8101205
16260,8100850
16261,8101652
16262,8100305
16263,8101624
16266,8100213
16267,8101592
16268,8105979
16466,8100526
16467,8101785
16468,8100023
16470,8101399
16471,8100405
16472,8101288
16473,8100263
16474,8100830
16475,8100442
16476,8101248
16477,8100478
16478,8100914
16480,8000072
16485,8101325
16486,8100022
16487,8100584
16488,8100021
16489,8100265
16729,8100065
16751,8089066
16752,8089017
16753,8089001
16754,8089019
16755,8089185
16757,8101629
16758,8101000
16759,8100062
16760,8101448
16762,8100586
16763,8100589
16764,8100060
16765,8101728
16971,5600081
16986,8101950
16987,8100124
16988,8003693
16989,8000230
16991,8000387
16992,8006200
16993,8000203
16994,8000336
16995,8000454
16996,8003897
16997,8005823
16998,8000249
17000,8003057
17001,8000170
17003,8000096
17203,8100004
17396,8101656
17397,8101647
17398,8101328
17399,8101682
17400,8101640
17850,8100918
17851,8100756
17853,8101539
17854,8100920
17866,8101415
17867,8100852
17869,8101701
17871,8100693
18524,8192253
18525,8119243
18526,8119114
18527,8119115
18528,8119117
18529,8119489
18530,8119121
18531,8119122
18532,8119123
18533,8119124
18534,8169491
18535,8119129
18536,8119127
18537,8119131
18538,8169132
18539,8169133
18540,8169135
18628,8170066
18629,8170069
18630,8170004
18631,8102003
18632,8170017
18633,8101998
18634,8170009
18635,8170028
18697,8101045
18698,8101063
18699,8100407
18700,8101819
18701,8100211
18702,8100320
18703,8100024
18704,8100544
18707,8000095
19512,8101265
19513,8100626
19515,8101560
19516,8101195
19517,8101193
19520,8101283
19522,8101036
19526,8101292
19527,8101540
19774,8100582
19867,8100503
19868,8100858
19869,8100826
19870,8100727
19871,8101469
19872,8100656
19873,8100622
19874,8102016
19875,8100580
19876,8100609
19877,8101601
19878,8100413
19879,8101579
20497,8100139
20498,8100140
20499,8101287
20500,8100993
20501,8101376
20559,8000057
20563,8506314
20564,8506302
20565,8506000
20566,8503016
21251,8101723
21252,8101857
21253,8101833
21254,8100521
21255,8101612
21256,8101716
21257,8100420
21258,8101071
21259,8101684
21260,8100261
21262,8101778
21263,8100570
21264,8100416
21265,8101700
21266,8101299
21267,8101521
21268,8101852
21269,8101946
21270,8101754
21485,8102105
21487,8100337
21488,8100104
21489,8100323
21490,8100524
21492,8100310
21499,8101038
21500,8100451
21501,8101007
21502,8100986
21503,8100795
21504,8102053
22210,8101202
22211,8101356
22826,194565
22827,594345
22828,194397
22829,594028
22830,8101353
22832,8101219
22837,8101660
22840,8102047
22841,8101718
22842,8102049
22844,8102006
22845,8101406
22846,8102054
22847,8100772
22849,8101470
22850,8101481
22851,8100559
22852,8102055
22857,8102063
22861,8194377
22862,194381
22863,594616
22864,8194357
23747,8101237
23749,8101457
23773,8100956
24775,8170925
24776,8170381
24777,8170611
24778,8170616
24779,8170448
24780,8170412
24781,8170427
24782,8170043
24783,8170034
24784,8170051
24785,8170058
24786,8170025
24787,8170060
24788,8170059
24800,8170938
24801,8170049
24802,8170050
24804,8170193
24805,8170297
24806,8170639
24815,8170081
24816,8170079
24817,8170082
25209,8100089
25210,8017041
25211,8017042
25212,8002188
25219,312156
25220,312154
25221,312153
25222,312152
25223,312151
25224,312150
25225,312149
25226,312148
25227,312147
25228,312146
25229,798207
25230,312145
25231,312144
25232,312142
25233,312141
25234,312140
25235,312139
25236,312183
25237,965976
25239,8100552
25240,8100553
25241,8100114
25242,8101972
25243,8100550
25244,8101912
25245,8100115
25246,8100556
25247,8100555
25248,8100558
25249,8102260
25250,8004807
25257,312157
25258,312158
25259,312159
25260,312160
25261,312161
25262,312163
25263,312165
25264,312167
25265,311436
25266,310947
25267,310948
25575,8100359
25576,8101383
25577,8100440
25578,8100496
25579,8100501
25580,8100611
25581,8100668
25582,8100393
25583,8101471
25584,8100418
25585,8100336
25586,8100256
25587,8101091
26694,8170075
26695,8170074
26696,8170073
26697,8170011
26698,8170052
26699,8170024
26700,8170047
26709,8170053
26710,8170020
26711,8170042
26712,8170057
26713,8170038
26715,8170076
26784,5500523
26785,5501067
26839,8100235
26840,8100537
26841,8100982
26842,8101430
26843,8101787
26844,8100520
26845,8100538
26846,8100958
26847,8100266
26848,8100959
26849,8100360
27530,8100450
27531,8100395
27532,8100512
27533,8100271
27534,8100249
27535,8100297
27536,8100441
27547,8101947
27557,8174011
27558,8184132
27559,8174006
27560,8174021
27561,8174122
27562,8184100
27563,8174125
27564,8174166
27565,8174475
27566,8174103
27567,8124110
27568,8174164
27569,8179239
28017,312143
28544,8101148
28545,8101752
28546,8100491
28547,8100886
28548,8101408
28549,8100916
28550,8100677
29711,8101224
29712,8101122
29713,8100372
29714,8101229
30221,8100528
30226,8100536
30227,8101178
30228,8100239
30229,8100316
30253,8100585
30254,8100246
30255,8101029
30256,8101185
30257,8101502
30258,8101501
30259,8101405
30260,8101614
30261,8100807
30287,5402728
30288,5400299
30290,5403486
30291,5403297
30292,5403298
30293,5401086
30294,5401249
30295,5401433
30296,5403289
30297,5400750
31306,8101858
31307,8101369
31308,8101975
31309,8100571
31311,8101320
31312,8101218
31313,8100579
31314,8101988
31315,8101745
31316,8101797
31317,8101316
31318,8100731
31319,8101394
31320,8101974
31321,8102058
31322,8101796
31323,8100784
31324,8100655
32481,8100437
32482,8100948
32483,8100215
32484,8100732
32485,8100315
32486,8100864
33255,8100638
35005,8170065
35006,8170008
35007,8170023
35008,8170002
35009,8170815
35010,8170228
35011,8170830
35012,8170606
35013,8170129
35354,8100770
36036,8112070
36037,8171169
36038,8172325
36039,8172076
36040,8172326
36041,8182024
36123,794231
36124,311560
36125,311561
36126,311562
36127,311564
36128,311565
36129,311566
36130,311567
36131,311569
36132,311570
36133,311571
36134,311572
36135,311573
36136,311574
36137,311575
37303,8300231
37304,8300233
37305,8300222
37306,8300127
37307,8300210
37308,8300435
37309,8300083
37310,8300229
37311,8392019
37864,118902
37865,118802
37866,245208
37867,245180
37868,245139
37869,245140
37870,245130
37871,245141
37872,245129
37873,204903
37874,400206
37875,245207
37876,110302
37877,218702
37878,129602
37879,245121
39507,8122852
39508,8158923
39510,8159145
39511,8181055
39512,8175948
39513,8189424
39514,8110866
39515,8180665
39516,8118517
39517,8183231
39518,8189408
39519,8189402
39520,8189405
39521,8189403
39522,8189407
39523,8189406
39524,8189404
39525,8189401
39526,8170505
39527,8170391
39528,8170445
39529,8180448
39530,8170490
39531,110444
39532,8170185
39533,8170205
41792,310863
41793,310867
41794,310865
41795,310866
41796,375922
41797,311412
41798,369986
41799,377970
41800,373269
41801,374268
41802,379267
41803,311064
41804,311065
42730,8100183
42731,8100722
42732,8100185
42733,8100186
42734,8100187
42735,8100642
42736,8100188
42737,8100189
42738,8100192
42741,8100182
42742,8100181
42743,8100180
42864,8100368
42865,8101267
42866,8101375
42867,8100056
42874,8101675
43020,8100290
45389,8100098
45390,8100097
45391,8100095
45428,8174451
47082,8101324
47083,8101141
47084,8101135
47085,8101478
47086,8100283
47183,8100667
47184,8100699
47185,8101175
47186,8100497
47187,8100380
47188,8100282
47189,8100118
47190,8100117
47570,8101104
47864,8172319
48162,103402
48163,203502
48164,115902
48165,129702
48166,245037
48167,245034
48168,245032
48169,245191
48170,245190
48171,245019
48172,245018
48173,245017
48174,245327
48175,245015
48176,245014
48177,245002
48189,400204
48190,548135
48191,226102
48192,245012
48193,141102
48194,141002
48195,134902
48196,245009
48197,120802
48198,300702
48199,200602
48200,223902
48201,200502
48202,226702
48209,542559
48210,542558
48211,542557
48212,542556
48213,542746
48214,364963
48215,542553
48216,542641
48217,542642
48218,542643
48271,542565
48272,542638
48273,542639
48274,548671
48275,542465
48583,245033
48584,203201
48585,245024
48586,202402
48587,302502
48588,202602
48589,215302
48590,245144
49790,8101902
49791,8101903
49792,8101967
49793,8101971
49794,8101968
49795,8101969
49796,8101970
49797,8184354
49798,8574353
49799,8509625
49800,8574352
49801,8580500
49802,8509621
49803,8574344
49804,8579679
49805,8574343
49806,8583503
49807,8574364
49808,8580529
49809,8509991
49957,8002710
49958,8005138
49959,8004584
49960,8003065
49961,8000197
49962,8000194
49964,8000195
49965,8000119
50827,8100331
50828,8100439
50829,8101789
51652,8100525
51653,8100342
52449,8100879
52466,8101671
52467,8101840
52468,8102025
52469,8100686
52470,8101861
52471,8101832
52472,8100243
52473,8100523
52474,8101848
52475,8101738
52476,8102010
52477,8100500
52478,8101145
52479,8100334
52480,8102030
52481,8101397
52482,8102190
52483,8100314
52484,8100924
52485,8101909
52486,8102191
52487,8100480
52488,8101456
52489,8100275
52490,8167958
52491,8100730
52492,8100421
52493,8100595
52494,8100458
52495,8102011
52496,8100910
52497,8102012
52498,8100433
52499,8101620
52500,8101440
52501,8100340
52502,8101113
52503,8100296
53266,8186276
53267,8196121
53448,8101670
53449,8101260
53450,8101428
53451,8100508
53452,8100018
53453,8101377
53454,8101332
53455,8100019
53458,8101803
53460,8100774
54549,8170022
54561,8170026
54562,8170046
54563,8180052
54564,8180028
54565,8180053
54566,8110051
54567,8170176
56592,5500584
56593,5501198
56594,5501260
56595,5501103
56596,5501435
56597,5501022
56598,5500591
56599,5500468
56600,5501483
56601,5500081
56603,5500087
56604,5501478
56605,5501686
56606,7900279
56607,7943774
56608,7900033
56609,7900075
56610,7900144
56611,7900119
56612,7900026
56613,7900027
56617,7900034
56858,8000013
57287,8100011
57288,8102046
57289,8101358
57290,8101127
57298,8100759
57300,8100995
57301,8100747
57302,8100716
57303,8101419
57304,8101609
57305,8100010
57306,8100248
58931,8101658
58932,8100602
